Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,AgeIn,Title,alone,FareIn
Morreu,3,male,1,0,376566,S,Adulto Jovem,Mr,1,0.0
Sobreviveu,3,male,0,0,STON/O 2. 3101288,S,Adulto,Mr,0,2.0
Morreu,1,male,1,1,WE/P 5735,S,Idoso,Rare,1,2.0
Morreu,3,male,1,1,C.A. 2673,S,Jovem,Mr,1,0.0
Sobreviveu,2,famale,0,0,250648,S,Adulto Jovem,Miss,0,0.0
Morreu,1,male,1,0,113773,S,Adulto Jovem,Mr,1,2.0
Morreu,3,male,0,0,335097,Q,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,1,29103,S,Criança,Miss,1,0.0
Sobreviveu,3,male,0,1,392096,S,Criança,Master,1,2.0
Morreu,3,male,0,0,345780,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,349204,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,1,2,220845,S,Adulto,Mrs,1,2.0
Sobreviveu,2,male,1,1,250649,S,Criança,Master,1,0.0
Morreu,3,male,0,0,350042,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,29108,S,Jovem,Mr,0,0.0
Morreu,3,male,0,0,363294,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,0,110152,S,Adulto,Rare,0,2.0
Morreu,3,male,0,0,358585,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,SOTON/O2 3101272,S,Adulto,Mr,0,2.0
Sobreviveu,3,male,0,0,2663,C,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,2,113760,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,347074,S,Jovem,Mr,0,2.0
Sobreviveu,1,famale,1,0,13502,S,Idoso,Mrs,1,2.0
Morreu,1,male,0,0,112379,C,Adulto,Rare,0,1.0
Morreu,3,famale,0,0,364850,Q,Adulto,Miss,0,0.0
Morreu,3,male,1,0,371110,Q,Adulto,Mr,1,0.0
Morreu,3,male,0,0,8471,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,345781,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,350047,S,Adulto,Mr,0,0.0
Morreu,2,famale,0,0,S.O./P.P. 3,S,Idoso,Mrs,0,0.0
Morreu,3,male,0,0,2674,C,Adulto,Mr,0,2.0
Sobreviveu,2,famale,1,3,29105,S,Idoso,Mrs,1,0.0
Morreu,3,male,0,0,347078,S,Jovem,Mr,0,0.0
Morreu,3,male,0,0,383121,Q,Adulto,Mr,0,0.0
Sobreviveu,3,famale,0,0,364516,S,Criança,Miss,0,2.0
Morreu,3,male,0,0,36865,Q,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,1,24160,S,Adulto,Mrs,1,2.0
Sobreviveu,3,famale,0,0,2687,C,Jovem,Miss,0,0.0
Sobreviveu,1,famale,1,0,17474,S,Jovem,Mrs,1,2.0
Morreu,1,male,0,0,113501,S,Adulto Jovem,Mr,0,1.0
Morreu,3,male,1,2,W./C. 6607,S,Adulto,Mr,1,0.0
Morreu,3,male,0,0,SOTON/O.Q. 3101312,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,374887,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,3,famale,0,0,3101265,S,Jovem,Miss,0,0.0
Morreu,3,male,4,1,382652,Q,Criança,Master,1,2.0
Sobreviveu,3,male,1,2,C.A. 2315,S,Criança,Master,1,2.0
Morreu,1,male,0,0,PC 17593,C,Adulto,Mr,0,2.0
Morreu,3,male,0,0,12460,Q,Adulto,Mr,0,0.0
Morreu,2,male,0,0,239865,S,Jovem,Mr,0,1.0
Morreu,3,famale,8,2,CA. 2343,S,Adulto Jovem,Miss,1,2.0
Morreu,1,male,0,0,PC 17600,C,Adulto,Mr,0,1.0
Morreu,3,male,0,0,349203,S,Adulto Jovem,Mr,0,0.0
Morreu,2,male,0,0,28213,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,0,17465,S,Adulto,Rare,0,1.0
Sobreviveu,3,famale,0,0,349244,S,Adulto,Mrs,0,0.0
Morreu,3,male,0,0,2685,C,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,1,1,345773,S,Adulto Jovem,Mrs,1,0.0
Morreu,2,male,0,0,250647,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,1,C.A. 31921,S,Adulto,Mrs,1,1.0
Sobreviveu,1,male,1,2,113760,S,Criança,Master,1,2.0
Sobreviveu,3,male,0,1,2625,C,Criança,Master,1,0.0
Sobreviveu,3,male,0,0,347089,S,Adulto Jovem,Mr,0,2.0
Morreu,3,male,0,0,347063,S,Adulto,Mr,0,2.0
Morreu,1,male,0,0,112050,S,Adulto,Mr,0,0.0
Morreu,3,famale,0,0,347087,S,Jovem,Miss,0,2.0
Morreu,2,male,0,0,248723,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,1,0,113806,S,Adulto,Mrs,1,2.0
Morreu,3,male,0,0,3474,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,A/4 48871,S,Adulto,Mr,0,0.0
Morreu,2,male,0,0,28206,S,Adulto,Mr,0,0.0
Morreu,3,famale,4,2,347082,S,Criança,Miss,1,2.0
Morreu,3,male,0,0,364499,S,Adulto,Mr,0,0.0
Morreu,1,male,0,0,112058,S,Adulto,Mr,0,0.0
Morreu,3,famale,0,0,STON/O2. 3101290,S,Adulto Jovem,Miss,0,2.0
Morreu,2,male,1,1,S.C./PARIS 2079,C,Adulto,Mr,1,1.0
Morreu,3,male,0,0,C 7075,S,Adulto,Mr,0,0.0
Morreu,3,male,3,2,347088,S,Criança,Master,1,1.0
Sobreviveu,1,famale,1,1,12749,S,Idoso,Mrs,1,2.0
Sobreviveu,3,male,0,0,315098,S,Adulto Jovem,Mr,0,0.0
Morreu,1,male,0,0,19972,S,Adulto,Rare,0,0.0
Sobreviveu,3,famale,0,1,392096,S,Adulto Jovem,Mrs,1,2.0
Morreu,3,male,4,1,3101295,S,Criança,Master,1,1.0
Morreu,3,male,0,0,368323,Q,Adulto,Mr,0,0.0
Morreu,3,male,0,0,1601,S,Adulto,Mr,0,2.0
Sobreviveu,2,male,0,2,S.C./PARIS 2079,C,Criança,Master,1,1.0
Sobreviveu,3,male,0,0,367228,Q,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,0,113572,,Idoso,Mrs,0,2.0
Sobreviveu,3,famale,1,0,2659,C,Jovem,Mrs,1,0.0
Sobreviveu,2,male,1,1,29106,S,Criança,Master,1,0.0
Morreu,3,male,0,0,2671,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,347468,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,2223,S,Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,1,PC 17756,C,Adulto,Miss,1,2.0
Morreu,3,male,0,0,315097,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,392092,S,Adulto,Mr,0,0.0
Sobreviveu,3,male,0,0,1601,S,Adulto,Mr,0,2.0
Sobreviveu,1,male,0,0,11774,C,Adulto,Mr,0,1.0
Morreu,3,male,0,0,SOTON/O2 3101287,S,Adulto Jovem,Mr,0,2.0
Morreu,2,male,0,0,S.O./P.P. 3,S,Jovem,Mr,0,0.0
Sobreviveu,1,famale,0,0,113798,C,Adulto Jovem,Miss,0,1.0
Morreu,3,male,0,0,2683,C,Adulto,Mr,0,0.0
Morreu,3,male,0,0,315090,S,Jovem,Mr,0,0.0
Morreu,3,male,0,0,C.A. 5547,S,Adulto,Mr,0,0.0
Morreu,3,male,8,2,CA. 2343,S,Adulto,Mr,1,2.0
Morreu,3,male,0,0,349213,C,Adulto,Mr,0,0.0
Morreu,2,male,0,1,248727,S,Adulto Jovem,Rare,1,1.0
Sobreviveu,1,famale,1,0,17453,C,Adulto,Mrs,1,2.0
Morreu,3,male,4,2,347082,S,Criança,Master,1,2.0
Morreu,3,male,0,0,347060,S,Idoso,Mr,0,2.0
Morreu,3,famale,1,1,2678,C,Criança,Miss,1,0.0
Sobreviveu,1,famale,0,1,PC 17592,S,Jovem,Miss,1,1.0
Morreu,2,famale,1,0,244252,S,Adulto,Mrs,1,1.0
Sobreviveu,3,famale,0,1,392091,S,Jovem,Mrs,1,0.0
Sobreviveu,1,famale,1,1,36928,S,Adulto,Mrs,1,2.0
Sobreviveu,1,male,0,0,113055,S,Idoso,Mr,0,1.0
Sobreviveu,3,famale,0,3,2666,C,Adulto Jovem,Mrs,1,0.0
Morreu,3,male,0,0,2629,C,Adulto,Mr,0,0.0
Morreu,3,male,2,0,350026,S,Adulto,Mr,1,0.0
Morreu,2,male,1,0,28134,S,Adulto Jovem,Mr,1,0.0
Sobreviveu,1,famale,0,0,17466,S,Adulto,Mrs,0,1.0
Morreu,3,famale,8,2,CA. 2343,S,Adulto Jovem,Miss,1,2.0
Morreu,2,male,0,0,233866,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,2,famale,0,0,236852,S,Adulto,Mrs,0,0.0
Sobreviveu,2,famale,1,0,SC/PARIS 2149,C,Adulto Jovem,Miss,1,0.0
Morreu,1,male,0,0,PC 17590,S,Adulto,Mr,0,2.0
Morreu,3,male,0,0,345777,S,Adulto,Mr,0,0.0
Sobreviveu,3,male,1,1,347742,S,Criança,Master,1,0.0
Morreu,3,male,0,0,349248,S,Adulto Jovem,Mr,0,0.0
Sobreviveu,1,famale,1,1,11751,S,Adulto,Mrs,1,2.0
Morreu,1,male,0,0,695,S,Adulto,Mr,0,0.0
Morreu,3,male,0,0,345765,S,Adulto,Mr,0,0.0
Sobreviveu,2,famale,1,0,P/PP 3381,C,Adulto Jovem,Mrs,1,0.0
Sobreviveu,3,famale,0,0,2667,C,Jovem,Miss,0,2.0
Morreu,3,male,0,0,7534,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349212,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,349217,S,Adulto,Mr,0,0.0
Sobreviveu,1,famale,0,1,11767,C,Idoso,Mrs,1,2.0
Sobreviveu,2,famale,0,1,230433,S,Adulto Jovem,Mrs,1,1.0
Morreu,3,male,0,0,349257,S,Adulto,Mr,0,0.0
Morreu,3,famale,0,0,7552,S,Adulto Jovem,Miss,0,0.0
Morreu,2,male,0,0,C.A./SOTON 34068,S,Adulto Jovem,Mr,0,0.0
Morreu,3,male,0,0,SOTON/OQ 392076,S,Adulto Jovem,Mr,0,0.0
Morreu,3,famale,0,5,382652,Q,Adulto,Mrs,1,2.0
Morreu,2,male,0,0,211536,S,Adulto Jovem,Rare,0,0.0
Sobreviveu,1,famale,0,0,112053,S,Adulto Jovem,Miss,0,1.0
Morreu,3,famale,1,2,W./C. 6607,S,Adulto Jovem,Miss,1,0.0
Sobreviveu,1,male,0,0,111369,C,Adulto Jovem,Mr,0,1.0
Morreu,3,male,0,0,370376,Q,Adulto,Mr,0,0.0
